Word,Translation,Part of Speech,Example Sentence,Example Translation
occupation,อาชีพ,n.,"""Teaching is a noble occupation.""","""การสอนเป็นอาชีพอันสูงส่ง"""
occupy,ครอบครอง,v.,"""The company plans to occupy a new office space.""","""บริษัทมีแผนที่จะครอบครองพื้นที่สำนักงานแห่งใหม่"""
offence,ความผิด,n.,"""Committing a crime is considered an offence.""","""การก่ออาชญากรรมถือเป็นความผิด"""
offender,ผู้กระทำความผิด,n.,"""The offender was sentenced to prison.""","""ผู้กระทำความผิดถูกตัดสินให้ติดคุก"""
offend,รุกราน,v.,"""It's important not to offend others with hurtful words.""","""สิ่งสำคัญคือต้องไม่รุกรานผู้อื่นด้วยคำพูดที่ทำร้ายจิตใจ"""
offensive,ก้าวร้าว,adj.,"""His offensive comments upset many people.""","""ความคิดเห็นที่ไม่เหมาะสมของเขาทำให้หลายคนไม่พอใจ"""
official,เป็นทางการ,n.,"""The official announcement will be made tomorrow.""","""พรุ่งนี้จะประกาศอย่างเป็นทางการ"""
ongoing,อย่างต่อเนื่อง,adj.,"""The ongoing project is progressing well.""","""โครงการที่กำลังดำเนินอยู่มีความคืบหน้าไปด้วยดี"""
opening,เปิด,n.,"""The grand opening of the store attracted a crowd.""","""การเปิดร้านอย่างยิ่งใหญ่ดึงดูดผู้คนมากมาย"""
openly,อย่างเปิดเผย,adv.,"""She openly expressed her opinions at the meeting.""","""เธอแสดงความคิดเห็นอย่างเปิดเผยในที่ประชุม"""
opera,โอเปร่า,n.,"""The opera was a mesmerizing performance.""","""โอเปร่าเป็นการแสดงที่ชวนให้หลงใหล"""
operate,ดำเนินงาน,v.,"""Skilled surgeons operate on patients in the hospital.""","""ศัลยแพทย์ที่มีทักษะทำการผ่าตัดผู้ป่วยในโรงพยาบาล"""
opponent,คู่ต่อสู้,n,"""The opponent in the match was tough to beat.""","""คู่ต่อสู้ในการแข่งขันนั้นยากที่จะเอาชนะ"""
oppose,ต่อต้าน,v.,"""She chose to oppose the new policy.""","""เธอเลือกที่จะต่อต้านนโยบายใหม่"""
optimistic,มองโลกในแง่ดี,adj.,"""He maintains an optimistic outlook on life.""","""เขายังคงมีทัศนคติเชิงบวกต่อชีวิต"""
orchestra,วงดุริยางค์,n.,"""The orchestra played beautiful music.""","""วงออเคสตราเล่นดนตรีไพเราะ"""
organic,โดยธรรมชาติ,adj.,"""Organic vegetables are grown without pesticides.""","""ผักออร์แกนิกปลูกโดยไม่ใช้ยาฆ่าแมลง"""
organ,อวัยวะ,n.,"""The heart is a vital organ in the body.""","""หัวใจเป็นอวัยวะสำคัญในร่างกาย"""
origin,ต้นกำเนิด,n.,"""This dish has its origin in traditional Italian cuisine.""","""จานนี้มีต้นกำเนิดมาจากอาหารอิตาเลียนแบบดั้งเดิม"""
otherwise,มิฉะนั้น,adv.,"""We must follow the rules; otherwise, there will be consequences.""","""เราต้องปฏิบัติตามกฎเกณฑ์ มิฉะนั้นจะเกิดผลที่ตามมา"""
outcome,ผลที่ได้,n.,"""The outcome of the game was uncertain until the end.""","""ผลการแข่งขันยังไม่แน่นอนจนจบ"""
outer,ด้านนอก,adj.,"""The outer layer of the building needs repair.""","""ชั้นนอกของอาคารต้องการการซ่อมแซม"""
