Word,Translation,Part of Speech,Example Sentence,Translation
presume,ทึกทักเอา,v.,Don't presume to know everything.,อย่าคิดว่าจะรู้ไปซะทุกเรื่อง
prevail,เหนือกว่า,v.,Truth will prevail in the end.,ความจริงย่อมมีชัยในที่สุด
prevalence,ความชุก,n.,The prevalence of the disease is concerning.,ความชุกของโรคก็น่าเป็นห่วง
prevention,การป้องกัน,n.,Prevention is key to a healthy life.,การป้องกันเป็นกุญแจสำคัญในการมีสุขภาพที่ดี
prey,เหยื่อ,n.,The lion hunts its prey.,สิงโตล่าเหยื่อของมัน
principal,อาจารย์ใหญ่,n.,The principal of the school is strict.,ผู้อำนวยการโรงเรียนเข้มงวด
privilege,สิทธิพิเศษ,n.,Enjoy the privilege of free speech.,เพลิดเพลินกับสิทธิพิเศษในการพูดฟรี
probe,สอบสวน,n./ v.,Use a probe to measure temperature.,ใช้หัววัดเพื่อวัดอุณหภูมิ
problematic,มีปัญหา,adj.,The situation is problematic.,สถานการณ์มีปัญหา
proceeds,ดำเนินการ,n.,The concert's proceeds go to charity.,รายได้จากคอนเสิร์ตนำไปการกุศล
processor,โปรเซสเซอร์,n.,The computer processor is fast.,โปรเซสเซอร์คอมพิวเตอร์ทำงานเร็ว
proclaim,ประกาศ,v.,He will proclaim the news tomorrow.,เขาจะประกาศข่าวพรุ่งนี้
productive,มีประสิทธิผล,adj.,A productive day leads to success.,วันที่มีประสิทธิผลนำไปสู่ความสำเร็จ
productivity,ผลผลิต,n.,High productivity is essential in business.,ผลผลิตสูงเป็นสิ่งสำคัญในธุรกิจ
profitable,ทำกำไรได้,adj.,The business venture is profitable.,การทำธุรกิจมีกำไร
profound,ลึกซึ้ง,adj.,Her speech had a profound impact.,คำพูดของเธอมีผลกระทบอย่างลึกซึ้ง
projection,การฉายภาพ,n.,The projection of sales looks promising.,ประมาณการยอดขายมีแนวโน้มดี
prominent,โดดเด่น,adj.,He is a prominent figure in the field.,เขาเป็นบุคคลที่โดดเด่นในสนาม
pronounced,เด่นชัด,adj.,Her accent was pronounced.,สำเนียงของเธอเด่นชัด
propaganda,การโฆษณาชวนเชื่อ,n.,The government used propaganda to influence.,รัฐบาลใช้การโฆษณาชวนเชื่อเพื่อสร้างอิทธิพล
proposition,ข้อเสนอ,n.,The proposition was met with approval.,ข้อเสนอนี้ได้รับการอนุมัติแล้ว
prosecute,ดำเนินคดี,v.,They plan to prosecute the suspect.,พวกเขาวางแผนที่จะดำเนินคดีกับผู้ต้องสงสัย
prosecution,การดำเนินคดี,n.,The prosecution presented its case.,โจทก์ได้นำเสนอคดีของตน
prosecutor,อัยการ,n.,The prosecutor questioned the witness.,อัยการซักถามพยาน
